Rank,Value,Player Name,Rounds,Player ID
1,2840.0,"CHAGA07",34011,"WySi0ZjP"
2,2828.0,"ugly2333",6016,"Xgu8vJbb"
3,2806.0,"CHAGA02",34426,"NpduDFKF"
4,2736.0,"有限鲤鱼机",6778,"Y4PofoUU"
5,2703.0,"Null",544,"SSCpMwkE"
6,2682.0,"bdbw99",2152,"GkAxvMvR"
7,2671.0,"萌新99",4465,"3WjMHk6N"
8,2659.0,"门清一摸五",8373,"qs2cPjWJ"
9,2656.0,"laitedao",8455,"bQWN6CzF"
10,2654.0,"关关雎鸠2024",4265,"Qq1rQCKh"
11,2632.0,"东西喵",3623,"NTiMPvBY"
12,2631.0,"alaya23",5344,"gaHB4QjF"
13,2626.0,"Mikoto",2487,"AnfGv2Fz"
14,2623.0,"随机性2025",2400,"3vmrgYGt"
15,2619.0,"lusika",2816,"mskbTdYM"
16,2606.0,"梦幻情怀",705,"9jK7y098"
17,2599.0,"liuachun",1712,"4Rysrx8K"
18,2592.0,"椎名真白",3607,"kY36gExs"
19,2591.0,"Encyclopedia",7631,"F0FpDopU"
20,2581.0,"真随机",2755,"BR9xamFF"
21,2581.0,"芋蔗",299,"jTXsae2E"
22,2574.0,"国标菜鸡",2096,"M10pyWPn"
23,2574.0,"立花明明子",5968,"GS6Cy4th"
24,2573.0,"绚彩蓝",4660,"DvQeeBKB"
25,2571.0,"茅老道",7368,"kFAM1LVx"
26,2561.0,"Gompyn",1048,"p8rBnDPf"
27,2561.0,"吴下阿濛",1873,"A6F2TJZs"
28,2561.0,"襄下樊人",8190,"qX2Vddw6"
29,2557.0,"东方雁",2773,"q8ba1j0x"
30,2555.0,"龙骧",368,"r8Sy98LQ"
31,2549.0,"玖柒、97",2496,"24v2WTvo"
32,2546.0,"SSSFFF",4800,"q54ZGx8F"
33,2543.0,"专打Jencese",1344,"HoCgYxbV"
34,2542.0,"黑一色",2260,"m1NhYUrF"
35,2531.0,"弗兰基",2688,"8zQP4TDV"
36,2531.0,"薄荷犬",6704,"orU9BPUU"
37,2529.0,"CHAGA03",34262,"hNEQmgMK"
38,2529.0,"CHAGA06",1844,"XXL9nHG0"
39,2528.0,"王洋",4445,"4u3Wyyjo"
40,2524.0,"小龙女",10572,"7WK1gK48"
41,2524.0,"晴天",4000,"44avAyBg"
42,2523.0,"婆罗摩笈多",2464,"Y2TfADoJ"
43,2523.0,"空白",3504,"stXspKpk"
44,2522.0,"Buffon",4340,"RDHBMeMi"
45,2521.0,"Jencese",11368,"fVSRiMYY"
46,2517.0,"轻轻的飘",2176,"FUx4Taer"
47,2515.0,"酱油蛙",5447,"xB4mPrSb"
48,2513.0,"kiki",1492,"6YqgLrQZ"
49,2513.0,"嗯好可以行",6273,"KXcTcskS"
50,2511.0,"典狱长",576,"ctDaTtix"
51,2505.0,"神人",1971,"avRRQehb"
52,2504.0,"AvaMax",368,"nxUx5tzD"
53,2502.0,"Zazaka",5359,"QTLFDuyo"
54,2502.0,"报复社会",448,"q74qTna8"
55,2499.0,"猫猫今天吃啥",4010,"qaWUmWTs"
56,2499.0,"菜鸟坟墓",9356,"UmvL3dwz"
