======================================
Ranking by: current_elo
Generated at: 2026-01-09 02:19:26
Total players: 2080
======================================

Rank  	Value       	Player Name              	Rounds
------------------------------------------------------------
1     	2828.0      	ugly2333                 	3760
2     	2771.0      	CHAGA07                  	30527
3     	2754.0      	有限鲤鱼机          	6049
4     	2745.0      	CHAGA02                  	30132
5     	2682.0      	bdbw99                   	1584
6     	2678.0      	门清一摸五          	5025
7     	2672.0      	laitedao                 	6119
8     	2671.0      	萌新99                 	2945
9     	2648.0      	关关雎鸠2024         	2440
10    	2632.0      	东西喵                	2303
11    	2631.0      	alaya23                  	3968
12    	2625.0      	Mikoto                   	1655
13    	2613.0      	lusika                   	2144
14    	2606.0      	梦幻情怀             	705
15    	2599.0      	真随机                	2675
16    	2599.0      	liuachun                 	528
17    	2598.0      	随机性2025            	336
18    	2592.0      	椎名真白             	631
19    	2591.0      	Encyclopedia             	5327
20    	2587.0      	茅老道                	5326
21    	2584.0      	黑一色                	1732
22    	2581.0      	芋蔗                   	187
23    	2571.0      	希岸子                	4102
24    	2563.0      	绚彩蓝                	4580
25    	2561.0      	吴下阿濛             	784
26    	2561.0      	Gompyn                   	728
27    	2559.0      	立花明明子          	5856
28    	2555.0      	龙骧                   	16
29    	2549.0      	玖柒、97              	1568
30    	2546.0      	国标菜鸡             	2016
31    	2546.0      	SSSFFF                   	2672
32    	2543.0      	专打Jencese            	1264
33    	2538.0      	婆罗摩笈多          	1568
34    	2535.0      	襄下樊人             	4763
35    	2535.0      	看雪飘过             	5021
36    	2531.0      	弗兰基                	1216
37    	2530.0      	东方雁                	2021
38    	2529.0      	CHAGA06                  	1140
39    	2528.0      	菜鸟坟墓             	6653
40    	2527.0      	猫头鹰                	5758
41    	2523.0      	空白                   	1568
42    	2518.0      	CHAGA03                  	30356
43    	2517.0      	轻轻的飘             	1824
44    	2515.0      	酱油蛙                	3687
45    	2513.0      	kiki                     	944
46    	2511.0      	典狱长                	320
47    	2509.0      	北风萧霄             	6933
48    	2506.0      	王洋                   	2845
49    	2505.0      	神人                   	1203
50    	2504.0      	AvaMax                   	336
51    	2503.0      	CHAGA01                  	30671
52    	2502.0      	报复社会             	448
53    	2502.0      	Zazaka                   	3151
54    	2500.0      	晴天                   	2896
55    	2500.0      	Jencese                  	7413
56    	2495.0      	小笨鸟                	6224
57    	2494.0      	叮叮                   	1513
58    	2493.0      	小龙女                	6595
59    	2493.0      	Buffon                   	4260
60    	2492.0      	pluto                    	1856
61    	2491.0      	理论力学             	1947
62    	2490.0      	萌新大白獭          	3475
63    	2486.0      	仓田真白             	1872
64    	2485.0      	檐下风铃             	352
65    	2482.0      	麻哥                   	2528
66    	2481.0      	羽未                   	622
67    	2479.0      	桂雏菊                	288
68    	2475.0      	错和紫乌龟          	432
69    	2475.0      	猫猫今天吃啥       	3402
70    	2474.0      	嗯好可以行          	2749
71    	2473.0      	Magallan                 	288
72    	2472.0      	小玖                   	7292
73    	2471.0      	业6forever              	7022
74    	2469.0      	薄荷犬                	4000
75    	2467.0      	药渣                   	688
76    	2466.0      	狗                      	608
77    	2464.0      	昏睡猫投降喵       	624
78    	2464.0      	方片杰克             	356
79    	2464.0      	Jux                      	7476
80    	2460.0      	易北北                	4683
81    	2459.0      	冰雪看看             	3843
82    	2459.0      	CHAGA04                  	30730
83    	2457.0      	自摸七对             	1636
84    	2457.0      	Natsumi                  	16
85    	2454.0      	神里绫人             	464
86    	2452.0      	sdmt                     	1352
87    	2452.0      	Serendipity              	1184
88    	2451.0      	望月穗波             	160
89    	2448.0      	尾翼                   	2571
90    	2448.0      	geruome                  	3287
91    	2446.0      	林嘿嘿2号            	1201
92    	2445.0      	Koucha                   	608
93    	2444.0      	萌新100                	672
94    	2444.0      	YOUGA                    	1328
95    	2443.0      	格兰                   	4124
96    	2443.0      	北风萧霄2            	512
97    	2442.0      	星官之夏             	560
98    	2442.0      	国麻萧寒             	10380
99    	2442.0      	国标新手求教       	864
100   	2442.0      	penguin                  	528
101   	2441.0      	未济                   	3712
102   	2440.0      	一色儿                	224
