Rank,Fan,Hand,Starting Hand,Fan Types,Win Type,Player,Player ID,Record
1,169,"[SSSS,3][PPP,3][CCC,2][FFF,1]WW|WW0010","235579p369sSSWW|WW0000","字一色、大三元","ron","天使的精灵","HJykMmh1","XKzcdc6P"
2,168,"[NNN,3][EEE,2][SSS,2][WWW,3]CC|EW0010","1268m19sSWWNNCP|EW0000","大四喜、字一色","ron","发生什么事了","NBtXbSRv","PrfyozuB"
3,167,"[EEE,3][SSS,3][WWW,2][NNN,2]PP|WS0010","246m345p28sEESWN|WS0000","大四喜、字一色","ron","武小玲","tmRtSRun","mAoLjLs6"
4,163,"[CCC,3][FFF,3][PPP,1][SSS,2]EE|SN0000","88m7p4sESSNCCFFP|SN0000","字一色、大三元","ron","樱花Judy","6kJHEx7Q","7H24opp1"
5,162,"[8888s]33344466sFFF|EW1000","127p33344688sCF|EW0000","四暗刻、绿一色","tsumo","圓點儿","1XrNEGwo","H6105qgr"
6,156,"[FFF,3]EEESWWWNNNS|WE1000","13m2589sEEEWWNNF|WE0000","字一色、小四喜","tsumo","Sw279695293","mGrsW4Zs","LA4NZbiJ"
7,154,"[SSS,2][NNN,1][EEE,3]WWWFF|EN0000","9m1p2sEESSWWWNNF|EN0000","大四喜、字一色","ron","一叶菩提","gdpBpA8A","W0giM0tF"
8,153,"[WWW,2][NNN,1][EEE,2]SSCCS|SS1000","1159m5p1sESWWNCP|SS0000","大四喜、字一色","tsumo","凯旋之愿","wLsDhviv","nKVmRzxx"
9,152,"[234s,1][234s,3][666s,2]2388s4s|SS0110","1779m1p23348sFPP|SS0000","清一色、一色三同顺、绿一色","ron","天使的精灵","HJykMmh1","Cz5ypA9T"
10,148,"[444s,1][3333s,3][222s,1][888s,1]6s6s|SN1000","9m2999p2233447sP|SN0000","清一色、一色三节高、绿一色","tsumo","SSSFFF","q54ZGx8F","iT0jjQMA"
11,148,"[WWW,1][PPP,3][FFF,2][SSSS,1]CC|NN0010","249m2p889sSSNNCF|NN0000","小三元、字一色","ron","萌薪99","i30PhPwM","WnUDMYZ3"
12,144,"[CCC,3][FFF,3][WWW,1][SSS,1]PP|EE0010","7m2589p1359sSWCFP|EE0000","小三元、字一色","ron","萌薪99","i30PhPwM","cqvBQ6Wk"
13,144,"[SSS,2][EEE,3][PPP,3][NNNN,3]WW|NN0000","9m67p13799sESNNP|NN0000","字一色、小四喜","ron","武小玲","tmRtSRun","kTTHra5N"
14,144,"[SSS,3][NNN,3][CCC,2][PPP,2]FF|WS0010","347m36p4sESNNCFP|WS0000","小三元、字一色","ron","天使的精灵","HJykMmh1","hA4q0wU1"
15,141,"[CCC,1][FFF,1][PPPP,1][111s,3]EE|WE0010","1289m3p11267sECFP|WE0000","混幺九、大三元","ron","武小玲","tmRtSRun","EMs3TiSJ"
16,140,"[EEE,1][NNN,2]SSSWPPPW|SE1000","556m128p6sEESNNPP|SE0000","字一色、小四喜","tsumo","启丶沉卑","0dNfbR8t","MT3HWGck"
17,140,"[FFF,2][CCC,3]EEWWWPPE|WS0010","38m29p25789sEWFP|WS0000","小三元、字一色","ron","欧宸羽","4bXqcFrv","i30VEnXs"
18,139,"[SSS,1][WWW,1]EENNNPPP|WW1000","489m3569pESWWNP|WW0000","字一色、小四喜","tsumo","喜欢做大牌","7rBc0Dtw","Cj9PRAxg"
19,138,"[222s,3][3333s,7][444s,3][FFF,2]6s6s|EN0010","7m2248p12233456s|EN0000","一色三节高、绿一色","ron","Doge","DF5ET0y5","r49ukDpB"
20,138,"[PPPP][FFF,3][SSSS]999pCC|WE0010","27m269p8sSSNCPPPP|WE0000","小三元、混幺九","ron","Doge","DF5ET0y5","R7KHcz6a"
21,137,"[999s,2][FFF,1][PPPP]11sCCC|EN0010","89p1134499sFPPP|EN0000","混幺九、大三元","ron","Ryzen","RzNQg9q9","UCrQUMVx"
22,137,"[NNN,2][CCCC,2][PPPP,1]EEFFE|NS0000","1m57p466sEENNCCP|NS0000","小三元、字一色","ron","JN","bedANKmp","tKPGXi7W"
23,137,"[SSS,3][PPP,1][EEE,2]WNNNW|SS0000","2m9p1679sEESNNFP|SS0000","字一色、小四喜","ron","琳雨空","DgN0Ajsy","7q9PPd0U"
24,137,"[SSSS,6][NNN,3][FFF,2]EEWWW|WW1000","7m4p145sESSWNNFF|WW0000","字一色、小四喜","tsumo","浮光","MzMz95Sk","gUZNM56K"
25,136,"[CCC,2][NNN,3][FFF,3][EEE,2]PP|EW0000","156m559p2468sSCF|EW0000","小三元、字一色","ron","Doge","DF5ET0y5","iqd3Qg6s"
26,136,"[CCCC,6][SSS,3][WWW,2]EENNN|ES0000","25m3p289sEESWWCC|ES0000","字一色、小四喜","ron","青鳞","SZgdCSR7","EUhm3VJU"
27,136,"[EEE,3][SSS,1]CCCFFFPP|EW1000","13488m249p5sESFP|EW0000","小三元、字一色","tsumo","雀神A01","Jc0V8LLD","G0sa9bue"
28,136,"[SSSS,7][FFF,3]EEEWWNNN|NS0000","3489p33sEESSCFF|NS0000","字一色、小四喜","ron","放浪雀士","varsRaY2","0DiTYXcd"
29,136,"[WWW,3][NNN,1][CCC,1]EESSE|EE1000","237p268sESWWNNCC|EE0000","字一色、小四喜","tsumo","萌新99","3WjMHk6N","sERjqPvm"
30,135,"[EEE,1][CCC,3][WWW,2]SSNNN|NN0000","469p1449sEESWNF|NN0000","字一色、小四喜","ron","leverid","CbwGcGN2","486y1D8f"
31,135,"[NNN,3][WWW,3]CCFFFPPP|WS1000","56m12p17sWWNCCFP|WS0000","小三元、字一色","tsumo","多情龙井","oBekbCCM","wGFDybZE"
32,135,"[SSS,1][PPP,2][WWW,3]EENNN|NS0000","256m34sESSWNCPP|NS0000","字一色、小四喜","ron","逃课的安","pqGxXtBq","fW0k4NoY"
33,135,"[WWW,3][EEE,2][FFF,1]CCPPP|EW0000","368m1125p15sEWCF|EW0000","小三元、字一色","ron","odd","7q9obtYX","Aj9oCHCJ"
34,134,"[CCC,2][EEE,2]SSSFFPPP|WS1000","13m9p33sESCCFFPP|WS0000","小三元、字一色","tsumo","xbh要修仙","R9uT6oHi","XgvQgq4z"
35,134,"[CCC,2][PPPP,2][NNN,1]WWWFF|NE1000","1127m69sWWNCCFPP|NE0000","小三元、字一色","tsumo","相约四季","hia4SDXd","NTgXQVW3"
36,134,"[FFF,3][EEE,1]SSSWWNNW|WN0000","1m569sEESSSWNFF|WN0000","字一色、小四喜","ron","Nekkoya","uhpzyemJ","6sCQxQX8"
37,134,"[PPP,2][EEE,2][FFF,3]SSSCC|EN1000","12p58sEESSSFFPP|EN0000","小三元、字一色","tsumo","霸霸","4yeEFtvC","bmYq4uDX"
38,133,"[FFF,3][PPP,3]EEESSCCS|ES0000","59m169p1sEESCFFP|ES0000","小三元、字一色","ron","东方雁","q8ba1j0x","xLgZiTne"
39,132,"[WWW,1][PPP,3]SSCCCFFS|WE0000","1m5p117sSWWNCCCPP|WE0000","小三元、字一色","ron","蹦天使","vNXa8Suc","vbVPMKSB"
40,131,"[CCC,2]999mNNFFPPPF|WE0000","5999m78p1sWNCCFFP|WE0000","混幺九、大三元","ron","lalulu","LSuFDceb","ZfioeAVC"
41,131,"[WWW,3][PPP,3]SSCCFFFS|NE1000","144m1p15sSWWCFFPP|NE0000","小三元、字一色","tsumo","翔鹰","up2qQvV9","Gje3c5v3"
42,130,"[CCCC,6][PPP,1]11pSSSFFF|SN0000","127p8sESSSCCFPP|SN0000","混幺九、大三元","ron","Candycane","YgmEaPzt","Ts6hBNCL"
43,130,"[PPP,2][CCCC,5]SSWWWFFS|NE0000","59m367p5sSWWNCCFP|NE0000","小三元、字一色","ron","元喜莲","9vtPGqbW","6sCDsGND"
44,129,"[EEEE,7][9999p,6][1111m,2][NNNN,2]1p1p|SE0000","111568m599p7sEENN|SE0000","混幺九、四杠","ron","信噪比","DA8roabq","UCraDN7t"
45,128,"[234s,1][888s,3][6666s,6]3344s4s|EE1000","59m135p134578sWNF|EE0000","清一色、绿一色","tsumo","MKimiSH","SEK3UW5b","B6mBQvX2"
46,128,"[CCC,1][WWW,1][FFF,1]99mPPP|ES0000","1699m28p67sCCFFP|ES0000","混幺九、大三元","ron","襄下樊人","qX2Vddw6","MnsLkXye"
47,128,"[CCC,3]111pNNFFFPPP|SS0000","29m1889p9sEWNCPP|SS0000","混幺九、大三元","ron","雨萌小小酱","wXv1sNUz","6nuJviYZ"
48,128,"[EEE,3][FFF,3][PPP,3]SSCCS|WW0000","17m66p9sEESSCFFP|WW0000","小三元、字一色","ron","ikun鸡打王","3FQb6vtD","Ucrj80KL"
49,127,"[NNN,2][PPP,1]99mCCCFFF|WW0000","3699m2p39sEWNCCF|WW0000","混幺九、大三元","ron","紫电改二","tSP5Mm3F","ew9F7PpX"
50,123,"[FFFF,2][444s,3][6666s,1][CCCC,1]PP|SW0010","1m19p1344667sSCP|SW0000","小三元、三杠","ron","萌薪99","i30PhPwM","eRAnZzC6"
51,122,"[333s,2][888s,3][222s,3]4666s4s|NN0000","2245m558p23366sN|NN0000","清一色、绿一色","ron","佰番shooter","NMaPwyJ4","gsSgAvHn"
52,122,"[888s,1][666s,3]2223344s3s|EN0000","4m1567p12249sSWP|EN0000","清一色、绿一色","ron","Ace","fMTauCgC","u4MRvt9z"
53,122,"[CCC,2][EEE,2][PPP,2][999s,2]FF|ES0010","2344m377p2499sCP|ES0000","小三元、混幺九","ron","四方雀者","j6xx699F","nV45qetq"
54,121,"[222s,1][8888s,3][666s,2]3444s3s|EE0000","379m67p234888sECP|EE0000","清一色、绿一色","ron","暮春","J0UEhXjy","K5azC8qh"
55,121,"[234s,3][444s,2]2226668s8s|NW0000","6m14p12234469sWN|NW0000","清一色、绿一色","ron","凑友顺那","sZTbWEqB","gGHDbbxA"
56,118,"[111s,2][FFF,1][CCC,3][EEEE,2]PP|WN0010","224678m26p1sEWNF|WN0000","小三元、混幺九","ron","萌薪99","i30PhPwM","JHnbUeSa"
57,118,"[NNNN,7][EEEE,1][111m,2][SSS,3]WW|EE0000","116m8p129sEEENNCP|EE0000","混幺九、小四喜","ron","Falcao","232GP8zA","ssoFdpux"
58,117,"[234s,3][888s,3][666s,1]3344s4s|NE0000","1349m38p334688sEC|NE0000","清一色、绿一色","ron","一瞥而过","iR6RC0NU","VSKyLYHt"
59,117,"[777m,1]22mCCFFFPPPC|SS1000","2577m15p2sSFFPPP|SS0000","大三元","tsumo","StevenCai","gPy9y6Cc","tkivppLW"
60,115,"[SSS,3][WWWW,2][EEE,3][111p,3]NN|EE0000","58m137p77sESSWWWN|EE0000","混幺九、小四喜","ron","WeakBot2","dXN9CRyb","bxzyVbwX"
61,114,"2233344488999s2s|WS1000","67m247p223449sCP|WS0000","四暗刻、清一色、一色三节高","tsumo","低级泰坦","57uYq2fM","UtvKESJF"
62,114,"[PPP,3]888m88sCCCFFF|WN1000","1488m489p28sECFF|WN0000","大三元","tsumo","枭风雀庄","32C6J1o3","VQsWb9US"
63,114,"[SSS,3][999m,2][FFF,1]CPPPC|EE0010","22499m36p8sESNFPP|EE0000","小三元、混幺九","ron","Doge","DF5ET0y5","6FGPYybt"
64,113,"[NNN,1][999p,1][EEE,2][SSS,3]WW|SE0000","15m2369p689sESWNF|SE0000","混幺九、小四喜","ron","Hydra","6GP4wdRL","nbxx1vJJ"
65,112,"[FFF,2][888s,1][333s,3][4444s,3]6s6s|WE0010","1m3448p133447sFFP|WE0000","绿一色","ron","Doge","DF5ET0y5","mEEyZFuV"
66,112,"[PPP,3][CCC,3][WWW,3][1111m,3]FF|WS0000","11m36p459sWWNCCP|WS0000","小三元、混幺九","ron","薄荷犬","orU9BPUU","JXwQq0yn"
67,111,"[111p,2][999p,3]CCFFPPPF|WS0010","789m169p1448sNCP|WS0000","小三元、混幺九","ron","佰番shooter","NMaPwyJ4","R3sw040t"
68,111,"[SSSS,6][EEE,2][999m,2]WWWNN|ES0000","6799m6p479sESSWN|ES0000","混幺九、小四喜","ron","初冬666","J5uVo2hK","QtRjBx03"
69,110,"[7777p]77m888p77799s7m|NS1000","3477m67788p67sSS|NS0000","四暗刻、全大","tsumo","Zazaka","QTLFDuyo","7NLtA7L2"
70,110,"[9999s,6][SSS,2][PPP,1]CCCFF|SE0000","24m25p799sSSCCFPP|SE0000","小三元、混幺九","ron","柳梦璃","PPHotfkF","bzTSc5RL"
71,110,"[CCC,1][999p,3][PPP,2][EEE,1]FF|SN0000","258m1699pEECCPP|SN0000","小三元、混幺九","ron","东西喵","NTiMPvBY","vUbcQEaf"
72,109,"88m345pCCCFFFPPP|WE1000","4588m457p899sCFFP|WE0000","大三元","tsumo","吴三牛","m4hLBbnc","5idWn2BK"
73,109,"[CCC,2][PPP,1][WWW,2][111s,3]FF|WW1000","23359m49p11sWNCC|WW0000","小三元、混幺九","tsumo","海狼李林","diXjmLJr","U8bMWNea"
74,109,"[EEE,3][NNN,1][999s,1]SWWWS|WE1000","268m25p2299sEEWWN|WE0000","混幺九、小四喜","tsumo","小黄","uL7d6bVj","VaPh84BJ"
75,109,"[EEE,3][SSS,1][NNN,2]111sWW|SE1000","1m577p111sEESSWCP|SE0000","混幺九、小四喜","tsumo","贾岛QAQ","0tbo3Kea","e61VCnhH"
76,109,"[WWW,1][EEE,2][NNN,1]111mSS|WW1000","112m15p29sEESWNN|WW0000","混幺九、小四喜","tsumo","追影","byorfXw2","YVgd5SkP"
77,108,"[1111m,7][EEE,3]CCCFPPPF|NN0000","478m346p46sEWCFP|NN0000","小三元、混幺九","ron","SunnyYip","njwu2Rh3","DaFZiaM0"
78,108,"[999p,1][FFFF,6]NNNCCCPP|SW1000","3m199p44sWNNNCFF|SW0000","小三元、混幺九","tsumo","kabidesu","8SiX3Pzw","RMrwgMof"
79,108,"[999p,1][FFFF,6]NNNCCCPP|SW1000","3m199p44sWNNNCFF|SW0000","小三元、混幺九","tsumo","kabidesu","8SiX3Pzw","RMrwgMof"
