======================================
Deal-in Rate (放铳率) = deal_in_count / total_rounds
Generated at: 2026-01-09 00:24:36
Total players: 1934
======================================

Rank  	Rate        	Player Name              	Rounds
------------------------------------------------------------
1     	56.25%      	百合123                	16
2     	50.00%      	枫野                   	16
3     	43.75%      	sauluo                   	16
4     	43.75%      	GNOREZ                   	16
5     	37.50%      	邦德                   	16
6     	37.50%      	迫落                   	32
7     	37.50%      	白石奈奈             	16
8     	37.50%      	甲鱼                   	16
9     	37.50%      	湖惑                   	16
10    	37.50%      	流子                   	16
11    	37.50%      	泽嵘                   	16
12    	37.50%      	柯西不再忧伤       	16
13    	37.50%      	孤独与saki            	16
14    	37.50%      	zaqcxy                   	16
15    	37.50%      	flw                      	16
16    	37.50%      	cos是我的神          	16
17    	37.50%      	abi                      	16
18    	37.50%      	Monophenol               	16
19    	37.50%      	C8H16O2                  	16
20    	34.38%      	山兔                   	32
21    	34.38%      	凸眼鱼                	32
22    	34.38%      	CHAGA99                  	32
23    	33.33%      	symbol                   	48
24    	31.25%      	鹿鹿                   	16
25    	31.25%      	饼蛙                   	16
26    	31.25%      	顾寒9275               	32
27    	31.25%      	阿橘ovo                	16
28    	31.25%      	诸葛长青             	16
29    	31.25%      	装饰                   	16
30    	31.25%      	花散峪山人考       	16
31    	31.25%      	绿一色LLFF            	16
32    	31.25%      	篝                      	16
33    	31.25%      	玖染                   	16
34    	31.25%      	玖月                   	16
35    	31.25%      	熊哥                   	32
36    	31.25%      	灰毛团子             	16
37    	31.25%      	火星包                	64
38    	31.25%      	演员                   	16
39    	31.25%      	池州老赵             	16
40    	31.25%      	橘子111                	16
41    	31.25%      	楚天危楼独倚       	16
42    	31.25%      	普通怪兽奇卡       	32
43    	31.25%      	把把胡                	16
44    	31.25%      	弥卡呦                	16
45    	31.25%      	喜欢和小三元       	16
46    	31.25%      	吃货小飞飞          	16
47    	31.25%      	一个没用的          	16
48    	31.25%      	annayanami               	16
49    	31.25%      	ad2                      	16
50    	31.25%      	Shangbeiya               	16
51    	31.25%      	MasterSun                	16
52    	31.25%      	Lily0818                 	32
53    	31.25%      	Ghuxi                    	16
54    	30.36%      	suliao                   	112
55    	29.69%      	不求人                	64
56    	29.69%      	Xiaopp                   	64
57    	29.17%      	信教的coke            	24
58    	29.17%      	MarioYio                 	48
59    	28.75%      	东云绘名             	80
60    	28.12%      	祈桜                   	32
61    	28.12%      	流觞                   	32
62    	28.12%      	柒七                   	32
63    	28.12%      	小霸王团子          	32
64    	28.12%      	小熊老师丶安       	32
65    	28.12%      	小凯凯                	64
66    	28.12%      	五河かがく          	32
67    	28.12%      	三无将                	64
68    	28.12%      	znev                     	64
69    	28.12%      	kozend                   	32
70    	28.12%      	Oracle                   	64
71    	27.50%      	小白薯                	40
72    	27.34%      	SfArccos                 	128
73    	27.08%      	诗人哪                	48
74    	27.08%      	源代码                	48
75    	27.08%      	伯约0                  	48
76    	27.08%      	ycrj                     	48
77    	27.08%      	morgl                    	48
78    	27.08%      	FrAtk                    	48
79    	26.79%      	只和三步高          	112
80    	26.70%      	要来点智乃吗       	176
81    	26.61%      	晚终                   	109
82    	26.56%      	呜喵喵喵恒          	64
83    	26.56%      	伪随机                	128
84    	26.56%      	上帝肥嘟嘟          	64
85    	26.56%      	RimanC                   	64
86    	26.39%      	鳗鱼                   	144
87    	26.39%      	打国标第一天       	72
88    	26.25%      	浪子燕青1974         	80
89    	26.25%      	shiro                    	80
90    	26.04%      	チャガゼロ          	192
91    	25.78%      	CregChain                	128
92    	25.52%      	送分达人             	192
93    	25.00%      	齐静春                	16
94    	25.00%      	黄英似蛭             	16
95    	25.00%      	陌                      	16
96    	25.00%      	阿久津翔太          	32
97    	25.00%      	铅铱                   	16
98    	25.00%      	郭橐驼                	80
99    	25.00%      	遠坂見月             	64
100   	25.00%      	送子                   	16
101   	25.00%      	超级错和王          	16
102   	25.00%      	超收敛模形式       	32
103   	25.00%      	蔓蔓蔓蔓蔓蔓       	48
104   	25.00%      	芙宁娜                	32
105   	25.00%      	芋头                   	32
106   	25.00%      	白鳥汐音             	16
107   	25.00%      	牢C                     	16
108   	25.00%      	牛肉干干             	32
109   	25.00%      	牌搭子                	32
110   	25.00%      	流浪月光             	16
111   	25.00%      	洛心颜                	16
112   	25.00%      	歳納京子             	136
113   	25.00%      	欣er1                   	16
114   	25.00%      	检查绝张             	16
115   	25.00%      	木子十甫寸          	16
116   	25.00%      	晨昏对峙             	32
117   	25.00%      	昵称                   	16
118   	25.00%      	明石                   	16
119   	25.00%      	早柚                   	80
120   	25.00%      	日麻是什么          	16
121   	25.00%      	日暗地旱             	80
122   	25.00%      	日安夜愿             	64
123   	25.00%      	广东麻将BOT          	20
124   	25.00%      	巧思                   	96
125   	25.00%      	孤高の撃墜王       	16
126   	25.00%      	天北                   	32
127   	25.00%      	大大大鹏子          	32
128   	25.00%      	夏日浪漫星辰       	16
129   	25.00%      	墨风镜花水月       	16
130   	25.00%      	塔利雅                	64
131   	25.00%      	嘿嘿嘿哈             	64
132   	25.00%      	吴下阿蒙             	80
133   	25.00%      	吱吱sama               	64
134   	25.00%      	可爱小灵梦          	64
135   	25.00%      	只打萧寒             	16
136   	25.00%      	叁壹                   	16
137   	25.00%      	博博巨奈斯          	64
138   	25.00%      	南风月明             	16
139   	25.00%      	南风                   	32
140   	25.00%      	单一                   	16
141   	25.00%      	十二归一七对       	48
142   	25.00%      	冷欺花                	16
143   	25.00%      	低调玩家             	16
144   	25.00%      	东瓜帮主             	16
145   	25.00%      	东东麻                	68
146   	25.00%      	上亿小弟             	16
147   	25.00%      	三横一棵树          	16
148   	25.00%      	三倍滿自動姬       	16
149   	25.00%      	xiaokiss                 	16
150   	25.00%      	xianxin                  	16
151   	25.00%      	x5y6                     	16
152   	25.00%      	tlr                      	16
153   	25.00%      	srj                      	16
154   	25.00%      	rkcd                     	16
155   	25.00%      	rainhard                 	16
156   	25.00%      	qxbk                     	32
