======================================
Tsumo-against Rate (被摸率) = tsumo_against_count / total_rounds
Generated at: 2026-01-09 00:24:50
Total players: 1934
======================================

Rank  	Rate        	Player Name              	Rounds
------------------------------------------------------------
1     	54.55%      	幽幽不玩游戏       	11
2     	50.00%      	疯狂宝贝             	16
3     	50.00%      	kx                       	16
4     	43.75%      	乾澜                   	16
5     	43.75%      	东瓜帮主             	16
6     	43.75%      	nmleague                 	16
7     	43.75%      	lhylx                    	16
8     	37.50%      	阿久津翔太          	32
9     	37.50%      	连七对                	16
10    	37.50%      	糕手                   	48
11    	37.50%      	篝                      	16
12    	37.50%      	白鳥汐音             	16
13    	37.50%      	白晓异                	16
14    	37.50%      	湖惑                   	16
15    	37.50%      	晓白晓白晓          	16
16    	37.50%      	昵称                   	16
17    	37.50%      	可爱小花花          	16
18    	37.50%      	北冥雪                	16
19    	37.50%      	white                    	16
20    	37.50%      	srj                      	16
21    	37.50%      	V0Ghost                  	16
22    	37.50%      	TenyZ                    	16
23    	37.50%      	Neam                     	8
24    	37.50%      	KuozakiSaika             	16
25    	37.50%      	Jayden1129               	16
26    	37.50%      	Fervidstar               	16
27    	34.38%      	诗羽                   	32
28    	34.38%      	落影折桂             	32
29    	34.38%      	正气明凝             	64
30    	34.38%      	千手白子             	64
31    	34.38%      	冥小喵                	32
32    	34.38%      	qyjwty                   	32
33    	34.38%      	dama王                  	32
34    	32.50%      	葡萄汁                	80
35    	31.25%      	送子                   	16
36    	31.25%      	诸葛长青             	16
37    	31.25%      	蒲原智美             	16
38    	31.25%      	胡伊卓                	16
39    	31.25%      	瞻某人                	16
40    	31.25%      	白羽寒                	48
41    	31.25%      	白羊                   	16
42    	31.25%      	甜橙                   	16
43    	31.25%      	甘蔗                   	16
44    	31.25%      	玖楼的考古家       	16
45    	31.25%      	止匕小幺             	32
46    	31.25%      	楚天危楼独倚       	16
47    	31.25%      	是大侠吖             	16
48    	31.25%      	才久                   	16
49    	31.25%      	廃棄物                	16
50    	31.25%      	小林刚                	32
51    	31.25%      	小张同学             	32
52    	31.25%      	孤影                   	48
53    	31.25%      	娄山关                	16
54    	31.25%      	好想线下国标       	32
55    	31.25%      	天然法师             	16
56    	31.25%      	夏日浪漫星辰       	16
57    	31.25%      	只和平和             	48
58    	31.25%      	卡夫卡卡摔          	16
59    	31.25%      	冷欺花                	16
60    	31.25%      	克己小75              	48
61    	31.25%      	人木自心             	16
62    	31.25%      	上吉                   	16
63    	31.25%      	zzzsk                    	32
64    	31.25%      	spoonzzzz                	16
65    	31.25%      	rkcd                     	16
66    	31.25%      	flw                      	16
67    	31.25%      	eco                      	16
68    	31.25%      	artrain                  	16
69    	31.25%      	annayanami               	16
70    	31.25%      	Yangyumao                	16
71    	31.25%      	Tony                     	48
