======================================
Tsumo Rate (自摸率) = tsumo_win_count / win_count
Generated at: 2026-01-09 00:24:22
Total players: 1934
======================================

Rank  	Rate        	Player Name              	Rounds
------------------------------------------------------------
1     	100.00%     	饼蛙                   	16
2     	100.00%     	白晓异                	16
3     	100.00%     	湖惑                   	16
4     	100.00%     	流子                   	16
5     	100.00%     	意凉                   	16
6     	100.00%     	大大大鹏子          	32
7     	100.00%     	与梦随缘喵          	32
8     	100.00%     	xianxin                  	16
9     	100.00%     	kx                       	16
10    	100.00%     	cos是我的神          	16
11    	100.00%     	Kevin                    	16
12    	80.00%      	绵羊                   	16
13    	75.00%      	不破爱花             	16
14    	66.67%      	顾浅辞                	48
15    	66.67%      	顾寒9275               	32
16    	66.67%      	铅铱                   	16
17    	66.67%      	徐北                   	32
18    	66.67%      	廃棄物                	16
19    	66.67%      	小林                   	16
20    	66.67%      	孤高の撃墜王       	16
21    	66.67%      	娄山关                	16
22    	66.67%      	嘉瑜之秋             	16
23    	66.67%      	叁壹                   	16
24    	66.67%      	annayanami               	16
25    	64.29%      	求道人                	48
26    	63.64%      	ToT                      	64
27    	62.50%      	symbol                   	48
28    	61.54%      	仔恒                   	48
29    	60.00%      	风雨两重天          	48
30    	60.00%      	报告精华             	48
31    	60.00%      	叶三夕夕夕          	100
32    	60.00%      	xiaokiss                 	16
33    	60.00%      	jtnmsl                   	16
34    	60.00%      	chongyu7896              	16
35    	58.33%      	Weltraumhund             	48
36    	57.89%      	雪哥                   	80
37    	57.14%      	芋头                   	32
38    	57.14%      	一叶知秋             	48
39    	54.55%      	我最逍遥             	64
40    	53.85%      	食卓塩                	48
41    	53.85%      	卡先生                	96
42    	53.85%      	supercp                  	48
43    	50.00%      	黄英似蛭             	16
44    	50.00%      	阳光男孩             	104
45    	50.00%      	长崎爱爱音          	64
46    	50.00%      	迫落                   	32
47    	50.00%      	超收敛模形式       	32
48    	50.00%      	貔貅送分童子       	16
49    	50.00%      	蜗牛                   	48
50    	50.00%      	蒲原智美             	16
51    	50.00%      	落影折桂             	32
52    	50.00%      	芋蔗                   	91
53    	50.00%      	网络连接失败       	48
54    	50.00%      	篝                      	16
55    	50.00%      	管家婆                	208
56    	50.00%      	笹葉更紗             	16
57    	50.00%      	白鳥汐音             	16
58    	50.00%      	玖月                   	16
59    	50.00%      	牌搭子                	32
60    	50.00%      	橘子111                	16
61    	50.00%      	枫野                   	16
62    	50.00%      	林嘿嘿4号            	48
63    	50.00%      	本智                   	32
64    	50.00%      	晓白晓白晓          	16
65    	50.00%      	昵称                   	16
66    	50.00%      	才久                   	16
67    	50.00%      	我们的歌             	16
68    	50.00%      	居居                   	32
69    	50.00%      	小张同学3            	32
70    	50.00%      	天然法师             	16
71    	50.00%      	天清一色             	32
72    	50.00%      	壹玖陆and417          	64
73    	50.00%      	四月墨封             	48
74    	50.00%      	嗯嗯                   	32
75    	50.00%      	叶凡                   	16
76    	50.00%      	南风月明             	16
77    	50.00%      	单一                   	16
78    	50.00%      	光睿                   	16
79    	50.00%      	上亿小弟             	16
80    	50.00%      	一听就和             	16
81    	50.00%      	yuanzi                   	48
82    	50.00%      	suliao                   	112
83    	50.00%      	srj                      	16
84    	50.00%      	spoonzzzz                	16
85    	50.00%      	ormisnal                 	32
86    	50.00%      	nmleague                 	16
87    	50.00%      	ghz的打手             	16
88    	50.00%      	ad2                      	16
89    	50.00%      	Xiaopp                   	64
90    	50.00%      	WeakBot2                 	72
91    	50.00%      	Tomcat                   	32
92    	50.00%      	Rozen                    	32
93    	50.00%      	NamelessGod              	16
94    	50.00%      	MasterSun                	16
95    	50.00%      	MakiYu                   	32
96    	50.00%      	Jayden1129               	16
97    	50.00%      	Hrl258                   	16
98    	50.00%      	Frank                    	16
99    	50.00%      	Eevee                    	16
100   	50.00%      	CVB123                   	32
101   	47.62%      	月曦                   	112
102   	47.50%      	Melody                   	128
103   	47.37%      	塔利雅                	64
104   	47.37%      	倪振民                	144
105   	47.06%      	夜雨桥                	80
106   	47.06%      	michalek                 	96
107   	46.67%      	温柔的光             	64
108   	46.55%      	出道即巅峰          	272
109   	46.15%      	秋秋                   	96
110   	46.15%      	椢床萧寒             	64
111   	46.15%      	尘墨                   	48
112   	46.15%      	呓语年少             	32
113   	46.15%      	MarioYio                 	48
114   	45.45%      	小张同学2            	32
115   	45.45%      	吱吱sama               	64
116   	45.45%      	东东麻                	68
117   	45.45%      	Kay1212                  	48
118   	45.00%      	萌新大土松          	80
119   	45.00%      	竹井久                	80
120   	44.83%      	桃子                   	160
121   	44.74%      	三百斤小胖熊       	168
122   	44.44%      	软趴趴                	112
123   	44.44%      	海子哥                	80
124   	44.44%      	月与星空             	82
125   	44.44%      	小华                   	48
126   	44.44%      	不求人                	64
127   	44.44%      	TTT                      	32
128   	44.44%      	PtF6                     	52
129   	44.00%      	黑泽咲                	96
130   	44.00%      	大哥大的小弟       	400
131   	43.75%      	井川子虎             	112
132   	42.86%      	红叶                   	152
133   	42.86%      	大三元                	32
134   	42.86%      	三无将                	64
135   	42.86%      	majongmaster             	48
136   	42.86%      	kozend                   	32
137   	42.86%      	Yangyumao                	16
138   	42.86%      	Sky                      	32
139   	42.86%      	Kev1n                    	48
140   	42.47%      	老馋                   	309
141   	42.31%      	xxx                      	96
142   	41.67%      	黑沢口关             	80
143   	41.67%      	祖向格                	128
144   	41.67%      	guo707                   	64
145   	41.67%      	citrus                   	224
146   	41.67%      	Tony                     	48
147   	41.67%      	SfArccos                 	128
148   	41.67%      	Darker                   	80
149   	41.38%      	千早爱音             	112
150   	41.18%      	源千鹤                	80
151   	41.18%      	hb                       	77
152   	41.18%      	EndlesS                  	80
153   	40.62%      	凛樱                   	128
154   	40.24%      	滑稽是内鬼          	336
155   	40.00%      	闲月                   	32
156   	40.00%      	郑美云                	32
157   	40.00%      	邦德                   	16
158   	40.00%      	迷途                   	64
159   	40.00%      	萌薪996                	16
160   	40.00%      	萌新pp                 	16
161   	40.00%      	英子刘梓鑫          	48
162   	40.00%      	玄黄q                  	96
163   	40.00%      	清风                   	96
164   	40.00%      	春米                   	32
165   	40.00%      	数据终端             	48
166   	40.00%      	大年糕                	48
167   	40.00%      	哼哼总                	16
168   	40.00%      	千手白子             	64
169   	40.00%      	冥小喵                	32
170   	40.00%      	信教的coke            	24
171   	40.00%      	中島めいし          	160
172   	40.00%      	三倍滿自動姬       	16
173   	40.00%      	yyyyyyh                  	48
174   	40.00%      	silence                  	24
175   	40.00%      	shizuku                  	56
176   	40.00%      	ok小子                 	32
177   	40.00%      	kaorukoL0Ve              	16
178   	40.00%      	awei                     	48
179   	40.00%      	TATTOT                   	16
180   	40.00%      	M7t11                    	96
181   	40.00%      	Esx                      	32
182   	40.00%      	Alphabeb                 	96
183   	39.66%      	捌萬                   	237
184   	39.58%      	平和達人             	208
185   	39.53%      	チャガゼロ          	192
186   	39.29%      	番                      	112
187   	39.29%      	晚终                   	109
188   	38.89%      	我爱汉堡             	48
189   	38.89%      	夤夜长风             	80
190   	38.89%      	mousuan                  	272
191   	38.81%      	Jk酱                    	640
192   	38.71%      	凉风                   	98
193   	38.52%      	黑心换黑心          	1408
194   	38.46%      	自动点炮机          	48
195   	38.46%      	一蓑烟雨             	64
196   	38.46%      	ohmymy                   	96
197   	38.46%      	OODCC                    	32
198   	38.24%      	下一张牌自摸       	344
199   	38.10%      	爱喝水的思          	96
200   	38.10%      	无机盐                	176
201   	38.10%      	光明之眼             	192
202   	38.10%      	CatHikari                	328
203   	37.84%      	弃月                   	203
204   	37.78%      	guanzhu                  	208
205   	37.50%      	鳗鱼                   	144
206   	37.50%      	派蒙                   	48
207   	37.50%      	杨桃巧克力酱       	32
208   	37.50%      	杜陵路                	272
209   	37.50%      	字一色小四喜       	80
210   	37.50%      	奇克kik                	32
211   	37.50%      	大话王                	48
212   	37.50%      	决战机器人          	96
213   	37.50%      	克己小75              	48
214   	37.50%      	xyhsjh                   	112
215   	37.37%      	二阶堂真红          	400
216   	37.14%      	YandereChan              	112
217   	37.04%      	ua                       	304
218   	37.04%      	h0081324                 	256
219   	36.98%      	僮九                   	720
220   	36.96%      	sugawara                 	176
221   	36.84%      	唐指导yestdy          	64
222   	36.84%      	zhozho                   	144
223   	36.84%      	Ghost                    	46
224   	36.67%      	心中的太阳          	112
225   	36.67%      	dz                       	192
226   	36.67%      	VvV不会金八          	288
227   	36.36%      	黎子糕                	48
228   	36.36%      	木之心                	48
229   	36.36%      	早柚                   	80
230   	36.36%      	小天                   	80
231   	36.36%      	九方                   	32
232   	36.36%      	Yu無礼                 	144
233   	36.36%      	Ttocgnef                 	80
234   	36.36%      	IceCola                  	80
235   	36.36%      	Appr2025                 	32
236   	36.28%      	不吃葱花             	496
237   	36.14%      	Hongstone                	320
238   	36.11%      	枰                      	256
239   	36.11%      	吃了再日             	288
240   	36.05%      	猪突猛进             	688
241   	36.00%      	龍龍想你了          	112
242   	36.00%      	葛天帝                	288
243   	36.00%      	rzddmx1                  	112
244   	36.00%      	bits                     	128
245   	35.94%      	彩色塑料星          	288
246   	35.71%      	浅葱狐冢             	176
247   	35.71%      	biu                      	96
248   	35.71%      	Oracle                   	64
249   	35.71%      	INFP                     	64
250   	35.71%      	BestMaomi                	324
251   	35.48%      	kjd                      	288
252   	35.43%      	CHAGA31415               	528
253   	35.38%      	amyhu                    	348
254   	35.29%      	婉兮                   	64
255   	35.29%      	国标良辰加油       	80
256   	35.29%      	PureTea                  	68
257   	35.00%      	凛风寒梅             	96
258   	35.00%      	云枫                   	64
259   	35.00%      	三暗刻刻刻          	80
260   	35.00%      	roysongor                	144
261   	35.00%      	miracle                  	96
262   	34.94%      	zyl                      	304
263   	34.85%      	王大星                	288
264   	34.78%      	澜川                   	96
265   	34.78%      	小柒                   	368
266   	34.78%      	LogY                     	256
267   	34.69%      	KaneSHEN                 	1344
268   	34.67%      	小犬卡西             	704
269   	34.66%      	calzhulator              	912
270   	34.62%      	疯帽子                	128
271   	34.62%      	TTz                      	208
272   	34.62%      	KomeijiMarin             	144
273   	34.48%      	静巧                   	112
274   	34.48%      	萌新有雪             	240
275   	34.48%      	清梦挽歌             	128
276   	34.48%      	我勒个痛啊          	112
277   	34.38%      	小小黑                	126
278   	34.36%      	alldxly                  	734
279   	34.21%      	旗客                   	480
280   	34.21%      	夏野川                	176
281   	34.07%      	凑友顺那             	368
282   	34.04%      	cccccc                   	576
283   	34.00%      	宽心                   	421
284   	33.95%      	梦幻情怀             	705
285   	33.90%      	ShovelKnight             	288
286   	33.87%      	ExplodedCT               	240
287   	33.82%      	sm                       	352
288   	33.54%      	祈慕斯                	816
289   	33.33%      	高抬贵手             	267
290   	33.33%      	阿橘ovo                	16
291   	33.33%      	超薄也有距离       	48
292   	33.33%      	赵秋雨                	320
293   	33.33%      	贝瑞塔                	48
294   	33.33%      	诗羽                   	32
295   	33.33%      	诈诈的胡             	32
296   	33.33%      	蜡笔小帅             	64
297   	33.33%      	花散峪山人考       	16
298   	33.33%      	胜负师f               	16
299   	33.33%      	老馋馋                	144
300   	33.33%      	老子很帥             	192
301   	33.33%      	白羊                   	16
302   	33.33%      	玖骍                   	112
303   	33.33%      	熊哥                   	32
304   	33.33%      	煜神                   	160
305   	33.33%      	点炮防自摸          	320
306   	33.33%      	浅                      	160
307   	33.33%      	流浪月光             	16
308   	33.33%      	汐楚三月             	272
309   	33.33%      	桔梗                   	32
310   	33.33%      	根号88                 	96
311   	33.33%      	木叶                   	16
312   	33.33%      	暮春                   	160
313   	33.33%      	是大侠吖             	16
314   	33.33%      	彪哥                   	32
315   	33.33%      	幻月符文             	32
316   	33.33%      	幻心                   	16
317   	33.33%      	山兔                   	32
318   	33.33%      	小小小小秋          	48
319   	33.33%      	好想线下国标       	32
320   	33.33%      	天河                   	32
321   	33.33%      	天北                   	32
322   	33.33%      	夜雨声烦             	128
323   	33.33%      	夏日浪漫星辰       	16
324   	33.33%      	喜欢和小三元       	16
325   	33.33%      	可爱小花花          	16
326   	33.33%      	卷谁呢                	48
327   	33.33%      	凤梨酥xxx             	96
328   	33.33%      	冰川纱夜             	32
329   	33.33%      	克兰娜德             	320
330   	33.33%      	伯德                   	280
331   	33.33%      	五河かがく          	32
332   	33.33%      	五指毛桃             	80
333   	33.33%      	乌萨奇                	32
334   	33.33%      	不名                   	288
335   	33.33%      	xxxr                     	32
336   	33.33%      	xixi                     	184
337   	33.33%      	x5y6                     	16
338   	33.33%      	wqy                      	48
339   	33.33%      	wardell                  	48
340   	33.33%      	suzuya                   	48
341   	33.33%      	nanuo3331                	16
342   	33.33%      	modayo                   	32
343   	33.33%      	lynchblax84              	48
344   	33.33%      	leverid                  	80
345   	33.33%      	jjh667                   	32
346   	33.33%      	ck053                    	16
347   	33.33%      	Xx33272                  	16
348   	33.33%      	Weldony                  	16
349   	33.33%      	Tour诺达               	16
350   	33.33%      	TenyZ                    	16
351   	33.33%      	THRIVE                   	48
352   	33.33%      	Richard71705             	16
353   	33.33%      	Pius                     	16
354   	33.33%      	Muigi                    	48
355   	33.33%      	Minato                   	16
356   	33.33%      	Maintain                 	144
357   	33.33%      	Kitaura                  	32
358   	33.33%      	JerryK                   	160
359   	33.33%      	Jamesqin                 	48
360   	33.33%      	JN                       	256
361   	33.33%      	Higuchi                  	56
362   	33.33%      	H41DA1NY4                	16
363   	33.33%      	GlassRod                 	80
364   	33.33%      	FelixCs                  	16
365   	33.33%      	DSCH                     	128
366   	33.33%      	Chauvet                  	32
367   	33.33%      	CKLm                     	96
368   	33.33%      	CHAGA120                 	80
369   	33.33%      	AIplayer                 	429
370   	33.11%      	地底探险             	560
371   	33.11%      	麓下kk                 	1088
372   	32.98%      	penguin                  	288
373   	32.96%      	真心                   	2640
374   	32.88%      	超级七对怪          	272
375   	32.86%      	雪豹                   	656
376   	32.78%      	SSSFFF                   	2208
377   	32.78%      	卢YYY                   	1383
378   	32.76%      	咖啡                   	640
379   	32.73%      	丝瓜                   	288
380   	32.72%      	涛                      	1454
381   	32.70%      	叮叮                   	1344
382   	32.69%      	qwqaq                    	208
383   	32.67%      	AvaMax                   	336
384   	32.65%      	搞子                   	192
385   	32.61%      	QryanQ                   	176
386   	32.53%      	三十                   	1491
387   	32.52%      	榕一                   	656
388   	32.50%      	舛敖                   	176
389   	32.47%      	萧何                   	286
390   	32.45%      	四错和散了          	628
391   	32.43%      	bagua                    	336
392   	32.43%      	OGGG                     	144
393   	32.35%      	羡鱼                   	192
394   	32.35%      	王致和卤大鹅       	309
395   	32.35%      	早哥                   	448
396   	32.35%      	凌叶                   	274
397   	32.33%      	报复社会             	448
398   	32.32%      	虎鲸                   	400
399   	32.32%      	弗兰基                	1152
400   	32.32%      	吸烟酱                	853
401   	32.31%      	萌新小笨鸟          	255
402   	32.31%      	张进步                	1328
403   	32.31%      	勘察加                	253
404   	32.26%      	青岛浪速小梁       	256
405   	32.26%      	九莲老登             	432
406   	32.17%      	铃声末响             	2704
407   	32.14%      	白晴                   	96
408   	32.14%      	河漢清淺             	128
409   	32.14%      	愿樱落时见你       	144
410   	32.14%      	小傻子                	128
411   	32.14%      	大可乐                	880
412   	32.14%      	UsamiRenko               	119
413   	32.05%      	喵喵大笨蛋          	928
414   	32.04%      	Imple                    	720
415   	32.00%      	百千万                	112
416   	32.00%      	寳儿丶少爷          	320
417   	31.96%      	杠上补花错和       	480
418   	31.94%      	总是学不会          	288
419   	31.88%      	Lyun                     	240
420   	31.87%      	地狱火的挽歌       	464
421   	31.85%      	乌克兰                	2656
422   	31.83%      	飞刀                   	1454
423   	31.82%      	落夏                   	272
424   	31.82%      	xiao灰灰丶            	80
425   	31.82%      	qqll                     	128
426   	31.82%      	Tilams                   	80
427   	31.82%      	Kagami                   	208
428   	31.75%      	青花鱼尾             	2064
429   	31.75%      	我是好人             	921
430   	31.75%      	AbbyKo                   	304
431   	31.71%      	璃茉                   	192
432   	31.67%      	qzgg                     	256
433   	31.65%      	Sablinbot                	592
434   	31.61%      	元喜莲                	1776
435   	31.58%      	一叶菩提             	160
436   	31.51%      	外部号                	320
437   	31.49%      	BrilliantIME             	736
438   	31.48%      	小黑白                	240
439   	31.43%      	拾陆                   	304
440   	31.43%      	big7long8                	128
441   	31.42%      	唔C迪C                 	1040
442   	31.36%      	阿亮                   	880
443   	31.32%      	晨三                   	792
