======================================
Win Rate (和牌率) = win_count / total_rounds
Generated at: 2026-01-09 02:19:49
Total players: 2080
======================================

Rank  	Rate        	Player Name              	Rounds
------------------------------------------------------------
1     	68.75%      	木头小人儿r         	16
2     	50.00%      	来吃莴苣吧          	8
3     	50.00%      	YU清清                 	16
4     	50.00%      	ForThePoints             	16
5     	43.75%      	阿瑟！                	16
6     	43.75%      	装饰                   	16
7     	43.75%      	ouyousou                 	16
8     	43.75%      	chopper                  	16
9     	43.75%      	Yangyumao                	16
10    	41.30%      	Ghost                    	46
11    	41.25%      	暮春                   	160
12    	40.62%      	呓语年少             	32
13    	40.62%      	OODCC                    	32
14    	40.62%      	Norn                     	32
15    	39.58%      	火柴                   	48
16    	37.50%      	陌                      	16
17    	37.50%      	阿藥                   	16
18    	37.50%      	阿橘ovo                	16
19    	37.50%      	胡牌大师             	16
20    	37.50%      	胡伊卓                	16
21    	37.50%      	老毛                   	16
22    	37.50%      	白龙小熊             	80
23    	37.50%      	琵琶鱼                	16
24    	37.50%      	琦玉                   	16
25    	37.50%      	王牌小管             	32
26    	37.50%      	欧内的手好汉       	16
27    	37.50%      	撒点小孜然          	16
28    	37.50%      	我爱汉堡             	48
29    	37.50%      	年少翩翩白虎       	32
30    	37.50%      	天河                   	32
31    	37.50%      	天丁                   	16
32    	37.50%      	喵喵麦当当          	16
33    	37.50%      	吕伦                   	48
34    	37.50%      	中田花奈             	16
35    	37.50%      	不响玩辣             	16
36    	37.50%      	white                    	16
37    	37.50%      	wardell                  	48
38    	37.50%      	lhylx                    	16
39    	37.50%      	ZJU国标分队2         	16
40    	37.50%      	Tour诺达               	16
41    	37.50%      	Pius                     	16
42    	37.50%      	JTY123457                	16
43    	37.50%      	H41DA1NY4                	16
44    	37.50%      	Forenal                  	16
45    	37.50%      	FelixCs                  	16
46    	36.78%      	我叫叶荣添          	174
47    	36.36%      	孤独与saki            	33
48    	35.94%      	飞天不怕打雷       	64
49    	35.94%      	婚庆老戴             	64
50    	35.42%      	Empty                    	48
51    	35.00%      	Jayden87                 	80
52    	34.88%      	我有亿点菜          	43
53    	34.38%      	洋平                   	32
54    	34.38%      	柒分                   	96
55    	34.38%      	小张同学2            	32
56    	34.38%      	九方                   	32
57    	34.38%      	万俟北辰             	96
58    	34.38%      	BLG首席打野          	32
59    	34.38%      	Appr2025                 	32
60    	34.38%      	Adrian105                	64
61    	33.75%      	五指毛桃             	80
62    	33.33%      	青一色                	48
63    	33.33%      	布布                   	48
64    	33.33%      	大话王                	48
65    	33.33%      	咕咕咕咕法法       	48
66    	33.33%      	企鹅                   	48
67    	33.33%      	linkmoon                 	24
68    	33.33%      	Eumenides                	96
69    	32.92%      	折一尾纸鸢          	240
70    	32.81%      	黑桃A                  	128
71    	32.81%      	Chauvet                  	128
72    	32.64%      	仁言否                	144
73    	32.50%      	南桥s01                	240
74    	32.29%      	不会七对             	96
75    	32.17%      	椎名真白             	631
76    	32.14%      	kawaisubei               	112
77    	31.94%      	五羟色胺             	288
78    	31.94%      	F8                       	144
79    	31.56%      	典狱长                	320
80    	31.25%      	龙骧                   	16
81    	31.25%      	顾浅辞                	48
82    	31.25%      	邦德                   	16
83    	31.25%      	记忆里的炎夏       	64
84    	31.25%      	萧寒头号红粉       	48
85    	31.25%      	萌薪996                	16
86    	31.25%      	萌新pp                 	16
87    	31.25%      	老馋馋                	144
88    	31.25%      	老千                   	16
89    	31.25%      	绵羊                   	16
90    	31.25%      	甜橙                   	16
91    	31.25%      	玖楼的考古家       	16
92    	31.25%      	浩峰音乐             	16
93    	31.25%      	星空凛                	48
94    	31.25%      	无奈喵                	112
95    	31.25%      	摇晃曾经             	48
96    	31.25%      	崽崽子哟             	16
97    	31.25%      	岳麓山大王          	16
98    	31.25%      	小邓                   	16
99    	31.25%      	哼哼总                	16
100   	31.25%      	名字不重要          	16
101   	31.25%      	叽噜咕噜叽喽       	32
102   	31.25%      	只道是寻常          	16
103   	31.25%      	仓鼠                   	16
104   	31.25%      	云枫                   	64
105   	31.25%      	云中观山客          	48
106   	31.25%      	三倍滿自動姬       	16
107   	31.25%      	ツィさん             	16
108   	31.25%      	xiaokiss                 	16
109   	31.25%      	shapaozi                 	16
110   	31.25%      	satomi                   	32
111   	31.25%      	saltyfish                	16
112   	31.25%      	saday                    	16
113   	31.25%      	parrot                   	32
114   	31.25%      	ok小子                 	32
115   	31.25%      	momiji                   	32
116   	31.25%      	kaorukoL0Ve              	16
117   	31.25%      	jtnmsl                   	16
118   	31.25%      	chongyu7896              	16
119   	31.25%      	YandereChan              	112
120   	31.25%      	THRIVE                   	48
121   	31.25%      	TATTOT                   	16
