======================================
Ranking by: stats.avg_starting_shanten
Generated at: 2026-01-09 02:19:38
Total players: 2080
======================================

Rank  	Value       	Player Name              	Rounds
------------------------------------------------------------
1     	4.375       	吃货小飞飞          	16
2     	4.3125      	百合123                	16
3     	4.3125      	srj                      	16
4     	4.28125     	Jesse                    	32
5     	4.25        	阿橘ovo                	16
6     	4.1875      	魔鬼之魂             	16
7     	4.1875      	蒙多医生             	16
8     	4.1875      	洛心颜                	16
9     	4.1875      	单机麻将             	16
10    	4.1875      	shapaozi                 	16
11    	4.1875      	Enmity                   	16
12    	4.125       	欣er1                   	16
13    	4.125       	橘子111                	16
14    	4.125       	minji                    	16
15    	4.125       	Xx33272                  	16
16    	4.09375     	春落华庭             	32
17    	4.09375     	CVB123                   	32
18    	4.0625      	燕麦豆乳             	16
19    	4.0625      	湖惑                   	16
20    	4.0625      	封剑                   	16
21    	4.0625      	孤高の撃墜王       	16
22    	4.0625      	zaqcxy                   	16
23    	4.0625      	ck053                    	16
24    	4.0625      	TinkerBell               	16
25    	4.0625      	MasterSun                	16
26    	4.0625      	Kitaura                  	32
27    	4.03125     	CHAGA99                  	32
28    	4.020833333333333	wqy                      	48
29    	4.020833333333333	Entelecheia              	96
30    	4.0         	自古以来             	16
31    	4.0         	老千                   	16
32    	4.0         	码龙                   	16
33    	4.0         	白水哩                	16
34    	4.0         	狼                      	48
35    	4.0         	止匕小幺             	32
36    	4.0         	无番胡连六          	16
37    	4.0         	幽幽不玩游戏       	11
38    	4.0         	一致连续             	16
39    	4.0         	xxhhww                   	16
40    	4.0         	linkmoon                 	24
41    	4.0         	ZJU国标分队2         	16
42    	4.0         	Tin仔                   	32
43    	4.0         	Hrl258                   	16
44    	3.96875     	阿久津翔太          	32
45    	3.96875     	超收敛模形式       	32
46    	3.96875     	春田太太             	32
47    	3.96875     	小任好运来          	32
48    	3.96875     	天清一色             	32
49    	3.96875     	flw                      	64
50    	3.9583333333333335	小林                   	48
51    	3.9565217391304346	东瓜帮主             	46
52    	3.9375      	雨沐沐                	16
53    	3.9375      	胡伊卓                	16
54    	3.9375      	米夜                   	64
55    	3.9375      	琦玉                   	16
56    	3.9375      	流觞                   	32
57    	3.9375      	池州老赵             	16
58    	3.9375      	昵称                   	16
59    	3.9375      	是大侠吖             	16
60    	3.9375      	意凉                   	16
61    	3.9375      	常陆茉子             	16
62    	3.9375      	寿陵余子             	16
63    	3.9375      	天河                   	32
64    	3.9375      	哇哇哇                	16
65    	3.9375      	名字不重要          	16
66    	3.9375      	叽噜咕噜叽喽       	32
67    	3.9375      	古月方源             	32
68    	3.9375      	卡夫卡卡摔          	16
69    	3.9375      	何文文大人          	16
70    	3.9375      	abi                      	16
71    	3.9375      	TenyZ                    	16
72    	3.9375      	TMT                      	16
73    	3.9375      	Norn                     	32
74    	3.9375      	IO                       	16
75    	3.9375      	Forenal                  	16
76    	3.925       	Lorvain                  	80
77    	3.92        	兮苡灬城悾          	25
78    	3.9166666666666665	黎子糕                	48
79    	3.9166666666666665	蒹葭                   	96
80    	3.9166666666666665	LZN                      	48
81    	3.9125      	Ttocgnef                 	80
82    	3.90625     	彪哥                   	64
83    	3.90625     	居居                   	32
84    	3.90625     	小张同学2            	32
85    	3.90625     	CHAGAJencese             	32
86    	3.90625     	Appr2025                 	32
87    	3.8958333333333335	萌新小雷             	96
88    	3.8958333333333335	symbol                   	48
89    	3.892857142857143	Nemesis                  	84
90    	3.8875      	源千鹤                	80
91    	3.8875      	六百六十六          	80
92    	3.8854166666666665	白纯里绪             	96
93    	3.875       	鹿鹿                   	16
94    	3.875       	风雨两重天          	48
95    	3.875       	这是一个小号       	16
96    	3.875       	超级错和王          	16
97    	3.875       	自动点炮机          	48
98    	3.875       	眠灯入门             	40
99    	3.875       	游戏                   	16
100   	3.875       	欧内的手好汉       	16
101   	3.875       	枫野                   	32
102   	3.875       	本智                   	32
103   	3.875       	撒点小孜然          	16
104   	3.875       	打国标第一天       	72
