======================================
Ranking by: stats.total_rounds
Generated at: 2026-01-07 09:16:24
Total players: 1232
======================================

Rank  	Value       	Player Name
--------------------------------------
1     	4           	广东麻将BOT
2     	4           	插ga
3     	8           	konskie
4     	12          	WeakBot1
5     	12          	WeakBot2
6     	12          	发生什么事了
7     	14          	朱克斯
8     	16          	Alismatika
9     	16          	Aspartic11
10    	16          	CHAGAJencese
11    	16          	Chaojisamoye
12    	16          	Enmity
13    	16          	Esx
14    	16          	F8
15    	16          	Falcao
16    	16          	Fayehe
17    	16          	Freezle
18    	16          	H41DA1NY4
19    	16          	INFP
20    	16          	IceCola
21    	16          	Innnnnfinity
22    	16          	Jayden87
23    	16          	KomeijiMarin
24    	16          	KuozakiSaika
25    	16          	M81
26    	16          	Maintain
27    	16          	MrLiu
28    	16          	OGGG
29    	16          	Oscar
30    	16          	PtF6
31    	16          	PureTea
32    	16          	Quandaiwu42
33    	16          	SfArccos
34    	16          	Sin是我的神
35    	16          	Star
36    	16          	TATTOT
37    	16          	TMT
38    	16          	TenyZ
39    	16          	Tin仔
40    	16          	Tony
41    	16          	Trin
42    	16          	Voyager1969
43    	16          	YU清清
44    	16          	ZJU国标分队3
45    	16          	big7long8
46    	16          	cyy
47    	16          	dmd
48    	16          	dorie
49    	16          	eraofexp
50    	16          	fmu小木
51    	16          	gbnewbie
52    	16          	guanzhu
53    	16          	kaorukoL0Ve
54    	16          	kawaisubei
55    	16          	lhylx
56    	16          	lingtong
57    	16          	linkenwu
58    	16          	liqiu
59    	16          	melonpi
60    	16          	michalek
61    	16          	miracle
62    	16          	mortal
63    	16          	natsumikka
64    	16          	ormisnal
65    	16          	parrot
66    	16          	pecuria
67    	16          	qima
68    	16          	qucheng
69    	16          	qyjwty
70    	16          	reswa1
71    	16          	rkcd
72    	16          	shiro
73    	16          	suliao
74    	16          	supercp
75    	16          	void337
76    	16          	volknet
77    	16          	white
78    	16          	wqy
79    	16          	xxx
80    	16          	yyyyyyh
81    	16          	zinv
82    	16          	ツィさん
83    	16          	一丶丶丨
84    	16          	一叶菩提
85    	16          	一灯大师
86    	16          	三只大土鳖
87    	16          	三索得了MVP
88    	16          	上吉
89    	16          	不会七对
90    	16          	东瓜帮主
91    	16          	中島めいし
92    	16          	中島由貴
93    	16          	云
94    	16          	五河かがく
95    	16          	井川子虎
96    	16          	亲亲要乐奈
97    	16          	仁言否
98    	16          	伯德
99    	16          	低调玩家
100   	16          	凉风
101   	16          	加藤黄瓜
102   	16          	千早爱音
103   	16          	南法信法南
104   	16          	卡先生
105   	16          	只和平和
106   	16          	只道是寻常
107   	16          	叶凡
108   	16          	吃货小飞飞
109   	16          	吴下阿蒙
110   	16          	四月墨封
111   	16          	国标小唐
112   	16          	圣杯碳
113   	16          	墨色清涟池
114   	16          	多元外卷人
115   	16          	大货车斯马托
116   	16          	天使的浦
117   	16          	奋豆王
118   	16          	奶瓶
119   	16          	尘墨
120   	16          	布布
121   	16          	常陆茉子
122   	16          	平和
123   	16          	幻心
124   	16          	幻月符文
125   	16          	庄寒雁
126   	16          	张麻子
127   	16          	志明
128   	16          	悠雨丶浪淘沙
129   	16          	我们的歌
130   	16          	我勒个痛啊
131   	16          	我是
132   	16          	我来截个和
133   	16          	打国标第一天
134   	16          	把把胡
135   	16          	无语锂电池
136   	16          	早柚
137   	16          	明绣
138   	16          	星官之夏
139   	16          	有路口
140   	16          	朋也
141   	16          	木之心
142   	16          	木叶
143   	16          	木头小人儿r
144   	16          	朱雀
145   	16          	杠开三条
146   	16          	柒七
147   	16          	栖久
148   	16          	格喵不是巫师
149   	16          	楚天危楼独倚
150   	16          	樱淳宝贝子
151   	16          	橙
152   	16          	次方
153   	16          	歳納京子
154   	16          	洋山芋炒咸鱼
155   	16          	源代码
156   	16          	演员
157   	16          	無番和自摸
158   	16          	牛肉干干
159   	16          	玖儿
160   	16          	璀璨猎户座
161   	16          	甘蔗
162   	16          	甜橙
163   	16          	甲鱼
164   	16          	疯狂宝贝
165   	16          	白开心
166   	16          	白羽寒
167   	16          	百合123
168   	16          	相约四季
169   	16          	真名不好取
170   	16          	矮胖诗客ll
171   	16          	破游全是bug
172   	16          	神人
173   	16          	空折花枝
174   	16          	算符
175   	16          	米夜
176   	16          	紫翅
177   	16          	红叶
178   	16          	绿一色LLFF
179   	16          	网络连接失败
180   	16          	老王c
181   	16          	聆风秋邻
182   	16          	胡牌大师
183   	16          	艳阳天
184   	16          	芋头
185   	16          	花散峪山人考
186   	16          	萌新11
187   	16          	萌薪996
188   	16          	落青
189   	16          	西月
190   	16          	说说
191   	16          	超硬大七星
192   	16          	超级错和王
193   	16          	轩挺
194   	16          	迫落
195   	16          	邦德
196   	16          	错和紫乌龟
197   	16          	长崎素世
198   	16          	阿寒
199   	16          	阿橘ovo
200   	16          	雏步
201   	16          	马庭芦花
202   	16          	马砻
203   	16          	鳗鱼
204   	16          	鹿鹿
205   	20          	brilliant
206   	24          	落樱焚雪
207   	32          	Adrian105
208   	32          	Aimp
209   	32          	Ambitious荣
210   	32          	BLG首席打野
211   	32          	CVB123
212   	32          	HReimu
213   	32          	Homeless
214   	32          	Kagami
